date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2001-02-02,22.0362514526,26.5029498718,40.1689440322,20.2966427147,18.4945023224,400.0
2001-02-05,21.8377266647,26.3899894819,37.3220188726,19.7393238618,18.8381758567,400.0
2001-02-06,21.9409595544,25.3214452525,38.725981965,20.1660892955,19.0267400968,414.48
2001-02-07,21.9886055035,26.4479961686,37.8485050323,19.8815790063,19.6745495023,386.0
2001-02-08,21.5439099787,25.8740352683,38.9697255575,19.7051826271,18.9324579768,359.52
2001-02-09,18.708976008,24.1582585343,37.7900065701,19.0621893736,17.9835540589,340.96
2001-02-12,18.2642804832,25.3031273514,38.4334896541,19.6653511866,17.8679824279,324.96
2001-02-13,17.9148768566,24.5765172755,40.4614363431,18.4590275605,17.69766634,308.0
2001-02-14,19.8524787861,25.4557765271,45.3363081917,19.4206723379,17.7554521556,330.0
2001-02-15,20.2495283618,26.1426978174,43.4838568892,20.3766269095,17.8862305801,360.96
2001-02-16,19.0583796347,24.6162060611,41.4851594313,19.5629274825,17.4300267735,286.48
2001-02-20,18.3675133729,23.0561314862,37.634010671,17.8900069822,16.9951124778,274.48
2001-02-21,18.2642804832,21.7525075264,37.439015797,17.4973827832,17.1076427501,253.52
2001-02-22,18.5660381608,20.4366716325,37.0490260491,17.0706173495,16.7852587267,244.48
2001-02-23,17.4701813318,18.8704910906,36.3177952718,17.0364761148,17.2597106856,259.04
2001-02-26,18.415159322,19.2521140297,34.12410294,16.7861070603,18.1143324835,260.96
2001-02-27,17.2240105948,16.9837472799,34.1728516585,16.5015967711,18.0595880267,222.48
2001-02-28,15.0878838775,16.7334026319,33.3636229316,16.2512277167,17.9440163956,214.0
2001-03-01,16.9778398579,18.6812061129,35.0015798727,16.5755694463,18.0535053092,234.0
2001-03-02,13.4043936764,18.4705502505,35.186825003,16.6779931504,17.2414625334,211.12
2001-03-05,13.4996855746,19.2154782275,38.0240004188,17.2868451692,17.4695644367,226.48
2001-03-06,13.99996804,18.0309206247,42.7623758556,17.9241482169,18.0778361789,224.0
2001-03-07,14.7940671914,17.5943439824,39.9739491583,18.7435378497,18.4580060178,215.52
