n,total,annualized,max_dd,mean_month,turnover_month,spy_total,by_year,2020,2022,rotation,floor,cap,step,cost_bps,block,overlay,mean_theme_turnover,mean_exposure
36,0.6780614971906171,0.18832698007647064,-0.4541025490685283,0.02188013709137921,,0.24705270054961392,"{'2020': 1.2445212658334013, '2021': 0.22434136447829767, '2022': -0.3893650949301082}",1.2445212658334013,-0.3893650949301082,price_plus_capex,0.15,0.5,0.15,25,2020_2022,False,0.021800587876659866,
43,3.5990534421379,0.5308432795312801,-0.19359901619094777,0.04279521442254343,,1.0430458054963405,"{'2023': 0.8942019552751106, '2024': 0.719236959030213, '2025': 0.20686465003317012, '2026': 0.1701670642503268}",,,price_plus_capex,0.15,0.5,0.15,25,2023_2026,False,0.014958430464119677,
71,0.924589897975147,0.11701025653279662,-0.1764165419674636,0.010276448225558408,,1.0328464184664052,"{'2014': 0.19443346114361182, '2015': 0.03835303757531605, '2016': 0.06887641609841899, '2017': 0.17733146919748632, '2018': -0.1257232837575325, '2019': 0.41044463460441216}",,,price_plus_capex,0.15,0.5,0.15,50,2014_2019,False,0.035319691424582536,
36,0.6748950020216338,0.18757905338681846,-0.45434068643756664,0.021825640422681307,,0.24705270054961392,"{'2020': 1.2426795504588504, '2021': 0.2237624429559002, '2022': -0.3897282831839267}",1.2426795504588504,-0.3897282831839267,price_plus_capex,0.15,0.5,0.15,50,2020_2022,False,0.021800587876659866,
43,3.591911513786502,0.5301794847873416,-0.19364022110003265,0.04275829348066948,,1.0430458054963405,"{'2023': 0.8923690059041898, '2024': 0.7191835450020456, '2025': 0.20628683689864058, '2026': 0.170078097034575}",,,price_plus_capex,0.15,0.5,0.15,50,2023_2026,False,0.014958430464119677,
71,0.9002625273033953,0.11461126002590238,-0.1777071501150045,0.010093905250706851,,1.0328464184664052,"{'2014': 0.19388852918617516, '2015': 0.03631574558125239, '2016': 0.06618278653842724, '2017': 0.1767207717317365, '2018': -0.1278706534100994, '2019': 0.40369172957300536}",,,price_plus_capex,0.15,0.5,0.15,100,2014_2019,False,0.035319691424582536,
36,0.6685780327112549,0.18608416335315248,-0.4548168008453525,0.021716647085285493,,0.24705270054961392,"{'2020': 1.2389996043852265, '2021': 0.22260502887086098, '2022': -0.3904542226545288}",1.2389996043852265,-0.3904542226545288,price_plus_capex,0.15,0.5,0.15,100,2020_2022,False,0.021800587876659866,
43,3.5776559884616743,0.5288522997505818,-0.19372262907974203,0.04268445159692157,,1.0430458054963405,"{'2023': 0.88870736249209, '2024': 0.7190767211914937, '2025': 0.20513143166726389, '2026': 0.1699001750463438}",,,price_plus_capex,0.15,0.5,0.15,100,2023_2026,False,0.014958430464119677,
71,1.2903148620453204,0.1503430057768591,-0.1648455157319373,0.012804076936684521,,1.0328464184664052,"{'2014': 0.22726531058554467, '2015': 0.048480469587177666, '2016': 0.1309352103151149, '2017': 0.21348228842034755, '2018': -0.10922072745184419, '2019': 0.4559790199393732}",,,price_plus_capex,0.15,0.7,0.05,0,2014_2019,False,0.0273107092486331,
36,0.5472052597481909,0.15659855232793607,-0.4507094583892717,0.018844032278448625,,0.24705270054961392,"{'2020': 1.091199624069477, '2021': 0.22052385357026827, '2022': -0.39381362678649223}",1.091199624069477,-0.39381362678649223,price_plus_capex,0.15,0.7,0.05,0,2020_2022,False,0.026041666666666678,
